Biomarker,Preferred Term,HGNC_ID,Biomolecule,Tissue,Cell,Context,Organism,Senescence Hallmark,Citation,Experimental Evidence
IGFBP2,insulin like growth factor binding protein 2,HGNC:5471,Protein,Circulating markers,,"Aging, menopause, multimorbidity, mortality",Human,SASP/Inflammation,"33210602, 35583231, 31945054, 29992704","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA, Luminex)"
IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,29992704,Aptamer-Based Proteomics (SOMAscan assay)
IGFBP4,insulin like growth factor binding protein 4,HGNC:5473,Protein,Circulating markers,,"Aging, multimorbidity, mortality",Human,SASP/Inflammation,33210602,Aptamer-Based Proteomics (SOMAscan assay)
IGFBP5,insulin like growth factor binding protein 5,HGNC:5474,Protein,Circulating markers,,"Aging, multimorbidity",Human,SASP/Inflammation,33210602,Aptamer-Based Proteomics (SOMAscan assay)
IGFBP7,insulin like growth factor binding protein 7,HGNC:5476,Protein,Circulating markers,,"Aging, menopause, multimorbidity",Human,SASP/Inflammation,"33210602, 35583231, 31945054","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA, Luminex)"
IL15,interleukin 15,HGNC:5977,Protein,Circulating markers,,"Aging, menopause",Human,SASP/Inflammation,"32554926, 36367600, 35583231","Immunoassay (ELISA, Luminex)"
IL17A,interleukin 17A,HGNC:5981,Protein,Circulating markers,,"Aging, menopause","Human, Mouse",SASP/Inflammation,"35583231, 26578790",Immunoassay (Luminex)
IL1A,interleukin 1 alpha,HGNC:5991,Protein,Circulating markers,,Diabetic kidney disease,"Human, Mouse",SASP/Inflammation,"31542391, 26578790","Immunoassay (ELISA, Luminex)"
IL1B,interleukin 1 beta,HGNC:5992,Protein,Circulating markers,CD3+ T cells,"Aging (WT and Ercc1‚àí/‚àÜ), menopause","Human, Mouse",SASP/Inflammation,"35583231, 33981041, 29992704, 30279143, 31981461","Immunoassay (ELISA), rt-qPCR"
IL1R1,interleukin 1 receptor type 1,HGNC:5993,Protein,Circulating markers,,"Aging, diabetic kidney disease","Human, Mouse",SASP/Inflammation,31542391,Immunoassay (ELISA)
IL2,interleukin 2,HGNC:6001,Protein,Circulating markers,,"Aging, diabetic kidney disease","Human, Mouse",SASP/Inflammation,31542391,Immunoassay (ELISA)
IL6,interleukin 6,HGNC:6018,Protein,Circulating markers,,"Aging, diabetic kidney disease, physical function","Human, Mouse",SASP/Inflammation,"36367600, 32554926, 31542391, 26578790","Immunoassay (ELISA, Luminex), rt-qPCR"
IL7,interleukin 7,HGNC:6023,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,"36367600, 32554926",Immunoassay (Luminex)
IL9,interleukin 9,HGNC:6029,Protein,Circulating markers,,Diabetic kidney disease,"Human, Mouse",SASP/Inflammation,31542391,Immunoassay (ELISA)
INHBA,inhibin subunit beta A,HGNC:6066,Protein,Circulating markers,CD3+ T cells,Aging (Ercc1‚àí/fl) (WT and Ercc1‚àí/‚àÜ),"Human, Mouse",SASP/Inflammation,"36367600, 32554926, 33981041, 29992704, 31981461","Immunoassay (ELISA, Luminex)"
LAMB1,laminin subunit beta 1,HGNC:6486,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,29992704,Aptamer-Based Proteomics (SOMAscan assay)
MMP1,matrix metallopeptidase 1,HGNC:7155,Protein,Circulating markers,,"Aging, mortality","Human, Mouse",SASP/Inflammation,"33210602, 31945054, 36367600, 29992704","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA, Luminex)"
MMP10,matrix metallopeptidase 10,HGNC:7156,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,29992704,Aptamer-Based Proteomics (SOMAscan assay)
MMP12,matrix metallopeptidase 12,HGNC:7158,Protein,Circulating markers,,Diabetic kidney disease,"Human, Mouse",SASP/Inflammation,"31542391, 29992704","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA)"
MMP2,matrix metallopeptidase 2,HGNC:7166,Protein,Circulating markers,,Aging,"Human, Mouse",SASP/Inflammation,"31945054, 36367600, 31542391, 32554926","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA, Luminex)"
MMP7,matrix metallopeptidase 7,HGNC:7174,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,"36367600, 32554926",Immunoassay (Luminex)
MMP9,matrix metallopeptidase 9,HGNC:7176,Protein,Circulating markers,,"Aging, diabetic kidney disease","Human, Mouse",SASP/Inflammation,"36367600, 31542391","Immunoassay (ELISA, Luminex)"
MOK,MOK protein kinase,HGNC:9833,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,36367600,Immunoassay (Luminex)
MPO,myeloperoxidase,HGNC:7218,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,36367600,Immunoassay (Luminex)
PARK7,Parkinsonism associated deglycase,HGNC:16369,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,31945054,Aptamer-Based Proteomics (SOMAscan assay)
PGK1,phosphoglycerate kinase 1,HGNC:8896,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,31945054,Aptamer-Based Proteomics (SOMAscan assay)
PLAT,"plasminogen activator, tissue type",HGNC:9051,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,29992704,Aptamer-Based Proteomics (SOMAscan assay)
PLAU,"plasminogen activator, urokinase",HGNC:9052,Protein,Circulating markers,,"Aging, doxorubicin treatment","Human, Mouse",SASP/Inflammation,"29992704, 31553904",Aptamer-Based Proteomics (SOMAscan assay)
PLAUR,"plasminogen activator, urokinase receptor",HGNC:9053,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,29992704,Aptamer-Based Proteomics (SOMAscan assay)
POSTN,periostin,HGNC:16953,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,"31945054, 33210602",Aptamer-Based Proteomics (SOMAscan assay)
RB1,RB transcriptional corepressor 1,HGNC:9884,Protein,Circulating markers,,Aging,Human,Cell cycle arrest,29992704,Aptamer-Based Proteomics (SOMAscan assay)
SERPINE1,serpin family E member 1,HGNC:8583,Protein,Circulating markers,,"Aging, doxorubicin treatment","Human, Mouse",SASP/Inflammation,"31553904, 36367600, 31945054, 32554926","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA, Luminex)"
SERPINE2,serpin family E member 2,HGNC:8951,Protein,Circulating markers,,Doxorubicin treatment,Mouse,SASP/Inflammation,31553904,Immunoassay (ELISA)
SERPING1,serpin family G member 1,HGNC:1228,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,"31945054, 29992704",Aptamer-Based Proteomics (SOMAscan assay)
SOST,sclerostin,HGNC:13771,Protein,Circulating markers,,"Aging, physical function",Human,SASP/Inflammation,36367600,"Immunoassay (ELISA, Luminex)"
SPP1,secreted phosphoprotein 1,HGNC:11255,Protein,Circulating markers,CD3+ T cells,"Aging (Ercc1‚àí/fl), physical function, (WT and Ercc1‚àí/‚àÜ)","Human, Mouse",SASP/Inflammation,"32554926, 36367600, 33981041, 31981461",Immunoassay (ELISA)
STC1,stanniocalcin 1,HGNC:11373,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,"33210602, 31945054, 29992704",Aptamer-Based Proteomics (SOMAscan assay)
TGFB1,transforming growth factor beta 1,HGNC:11766,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,29992704,Aptamer-Based Proteomics (SOMAscan assay)
THBS1,thrombospondin 1,HGNC:11785,Protein,Circulating markers,,doxorubicin treatment,Mouse,SASP/Inflammation,31553904,Immunoassay (ELISA)
TIMP1,TIMP metallopeptidase inhibitor 1,HGNC:11820,Protein,Circulating markers,,"Aging, multimorbidity, mortality, doxorubicin treatment","Human, Mouse",SASP/Inflammation,"33210602, 29992704, 31553904","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA)"
TIMP2,TIMP metallopeptidase inhibitor 2,HGNC:11821,Protein,Circulating markers,,"Aging, multimorbidity, mortality, menopause",Human,SASP/Inflammation,"35583231, 33210602, 31945054, 29992704","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (Luminex)"
TNF,tumor necrosis factor,HGNC:11892,Protein,Circulating markers,CD3+ T cells,"Aging (WT and Ercc1‚àí/‚àÜ), menopause","Human, Mouse",SASP/Inflammation,"36367600, 35583231, 32554926, 33981041, 30279143","Immunoassay (ELISA, Luminex), rt-qPCR"
TNFRSF1A,TNF receptor superfamily member 1A,HGNC:11916,Protein,Circulating markers,,"Aging, physical function",Human,SASP/Inflammation,"36367600, 32554926","Immunoassay (ELISA, Luminex)"
TNFRSF1B,TNF receptor superfamily member 1B,HGNC:11917,Protein,Circulating markers,,"Aging, physical function",Human,SASP/Inflammation,36367600,"Immunoassay (ELISA, Luminex)"
TP53,tumor protein p53,HGNC:11998,Protein,Circulating markers,,Aging,Human,Cell cycle arrest,29992704,Aptamer-Based Proteomics (SOMAscan assay)
VEGFA,vascular endothelial growth factor A,HGNC:12680,Protein,Circulating markers,,"Aging, menopause",Human,SASP/Inflammation,"36367600, 29992704, 35583231, 32554926","Aptamer-Based Proteomics (SOMAscan assay), Immunoassay (ELISA, Luminex)"
YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,HGNC:12854,Protein,Circulating markers,,Aging,Human,SASP/Inflammation,31945054,Aptamer-Based Proteomics (SOMAscan assay)
CD40LG,CD40 ligand,HGNC:11935,Protein,Immune system,platelets,"Aging, blood",Human,Cell surface markers,36656789,"RNA-Seq, Flow Cytometry"
CD63,CD63 molecule,HGNC:1692,Protein,Immune system,platelets,"Aging, blood",Human,Cell surface markers,36656789,"RNA-Seq, Flow Cytometry"
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,Protein,Immune system,lymphocytes,"Aging, blood",Mouse,Cell cycle arrest,31981461,rt-qPCR
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,Protein,Immune system,lymphocytes,"Aging, blood",Mouse,Cell cycle arrest,31981461,rt-qPCR
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",HGNC:3433,Protein,Immune system,T cells,"Aging, spleen, thymus",Mouse,DDR,31981461,rt-qPCR
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",HGNC:3436,Protein,Immune system,T cells,"Aging, spleen, thymus",Mouse,DDR,31981461,rt-qPCR
GCA,grancalcin,HGNC:15990,Protein,Immune system,macrophages and neutrophils,"Aging, bone marrow",Mouse,Metabolic adaptations,34614408,"Mass spec, ssRNA-Seq, ELISA, Immunoblot"
GDF3,growth differentiation factor 3,HGNC:4218,"mRNA, Protein",Immune system,macrophages,"Aging,  adipose tissue",Mouse,Metabolic adaptations,28953873,RNA-Seq
IL33,interleukin 33,HGNC:16028,Protein,Immune system,ILC2 cells,"Aging,  adipose tissue",Mouse,SASP/Inflammation,34473956,scRNA-seq
MAOA,monoamine oxidase A,HGNC:6833,"mRNA, Protein",Immune system,macrophages,"Aging,  adipose tissue",Mouse,Metabolic adaptations,28953873,RNA-Seq
MAPK14,MAPK14,HGNC:6876,Protein,Immune system,CD8+ Temra,"Aging, blood",Human,SASP/Inflammation,29024417,Microarray
NLRP3,NLR family pyrin domain containing 3,HGNC:16400,Protein,Immune system,macrophages,"Aging, thymus",Mouse,SASP/Inflammation,22832107,rt-qPCR
SA-β-Gal,senescence associated beta galactosidase,,Protein,Immune system,CD8+ T cells,"Aging, blood",Human,Increased lysosomal content,33939265,flow cytometry
SELP,selectin P,HGNC:10721,Protein,Immune system,platelets,"Aging, blood",Human,Cell surface markers,36656789,"RNA-Seq, Flow Cytometry"
CASP1,caspase 1,HGNC:1499,Protein,Kidneys,,Diabetes,Mouse,SASP/Inflammation,29253812,WB
CCL2,C-C motif chemokine ligand 2,HGNC:10618,mRNA,Kidneys,"Podocytes, endothelial cells, macrophages","Aging, Diabetes",Mouse,SASP/Inflammation,"29253812, 32592814","RNA-seq, rt-qPCR"
CCL3,C-C motif chemokine ligand 3,HGNC:10627,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
CCL5,C-C motif chemokine ligand 5,HGNC:10632,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
CCL8,C-C motif chemokine ligand 8,HGNC:10635,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
CDK4,cyclin dependent kinase 4,HGNC:1773,mRNA,Kidneys,,Aging,Human,SASP/Inflammation,14717921,rt-qPCR
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,Protein,Kidneys,"Glomerular enothelial cells, tubular epithelial cells, podocytes, macrophages","Aging, irradiation, ishemic renal injury, diabetic nephropathy",Mouse,Cell cycle arrest,"31527620, 34725920, 35166234, 32657444, 24996978, 19959722, 29253812","IHC, IF, rt-qPCR"
CDKN1B,cyclin dependent kinase inhibitor 1B,HGNC:1785,mRNA,Kidneys,cortical tubular cells,"Aging, chronic allograft nephropathy, Diabetes",Human,Cell cycle arrest,"12776284, 25701431","rt-qPCR, IHC, WB"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,Protein,Kidneys,"Glomerular enothelial cells, tubular epithelial cells, podocytes, renal arterial vascular smooth myocytes, glomerular parietal epithelium, macrophages","Aging, irradiation, chronic allograft nephropathy, glomerular disease, Type 2 diabetic nephropathy, ishemic renal injury","Human, Mouse",Cell cycle arrest,"34725920, 26840489, 35166234, 17183247, 14717921, 18768588, 32657444, 31527620, 29253812, 32657444","IHC, IF, RNA-seq"
CEBPA,CCAAT enhancer binding protein alpha,HGNC:1833,Protein,Kidneys,Podocytes,"Aging, injury",Mouse,SASP/Inflammation,31527620,"IHC, IF"
CEBPB,CCAAT enhancer binding protein beta,HGNC:1834,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
CXCL9,C-X-C motif chemokine ligand 9,HGNC:7098,mRNA,Kidneys,,Diabetes,Mouse,SASP/Inflammation,29253812,rt-qPCR
GSK3B,glycogen synthase kinase 3 beta,HGNC:4617,Protein,Kidneys,"Podocytes, tubular cells",Aging,"Human, Mouse",Metabolic adaptations,"35166234, 34716239","IF, WB"
H2AX,H2A.X variant histone,HGNC:4739,Protein,Kidneys,Glomerular enothelial cells,Aging,Mouse,DDR,34725920,"IHC, IF, WB"
HSPA5,heat shock protein family A (Hsp70) member 5,HGNC:5238,mRNA,Kidneys,,Aging,Human,SASP/Inflammation,14717921,rt-qPCR
IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,Protein,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,35166234,"RNA-seq, IF, WB"
IL1B,interleukin 1 beta,HGNC:5992,"mRNA, Protein",Kidneys,,"Aging, Diabetes",Mouse,SASP/Inflammation,"34725920, 29253812","IHC, IF, RNA-seq"
IL6,interleukin 6,HGNC:6018,mRNA,Kidneys,"endothelial cells, macrophages","Aging, ishemic renal injury, Diabetes",Mouse,SASP/Inflammation,"34725920, 32657444, 29253812",RNA-seq
IRF5,interferon regulatory factor 5,HGNC:6120,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
JDP2,Jun dimerization protein 2,HGNC:17546,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
MAPK14,MAPK14,HGNC:6876,Protein,Kidneys,,Diabetes,Mouse,SASP/Inflammation,"29253812, 25701431",WB
MIR146A,microRNA 146a,HGNC:31533,mRNA,Kidneys,,Diabetes,Mouse,SASP/Inflammation,29253812,rt-qPCR
MIR21,microRNA 21,HGNC:31586,mRNA,Kidneys,,Diabetes,Mouse,SASP/Inflammation,29253812,rt-qPCR
MMP1,matrix metallopeptidase 1,HGNC:7155,mRNA,Kidneys,,Aging,Human,SASP/Inflammation,14717921,rt-qPCR
MMP12,matrix metallopeptidase 12,HGNC:7158,mRNA,Kidneys,Podocytes,Aging,Mouse,SASP/Inflammation,32592814,RNA-seq
MMP13,matrix metallopeptidase 13,HGNC:7159,mRNA,Kidneys,,Aging,Mouse,SASP/Inflammation,"34725920, 32592814","rt-qPCR, RNA-seq"
NOX1,NADPH oxidase 1,HGNC:7889,mRNA,Kidneys,,Diabetes,Mouse,DDR,25701431,rt-qPCR
NPRL3,"NPR3 like, GATOR1 complex subunit",HGNC:14124,mRNA,Kidneys,,Diabetes,Mouse,SASP/Inflammation,29253812,rt-qPCR
PTGS1,prostaglandin-endoperoxide synthase 1,HGNC:9604,mRNA,Kidneys,,Aging,Human,SASP/Inflammation,14717921,"rt-qPCR, IHC"
PTGS2,prostaglandin-endoperoxide synthase 2,HGNC:9605,mRNA,Kidneys,,Aging,Human,SASP/Inflammation,14717921,"rt-qPCR, IHC"
SA-β-Gal,senescence associated beta galactosidase,,Protein,Kidneys,,Diabetes,Mouse,Increased lysosomal content,25701431,IHC
SERPINE1,serpin family E member 1,HGNC:8583,"Protein, mRNA",Kidneys,"Glomerular enothelial cells, macrophages","Aging, irradiation; Diabetes","Human, Mouse",SASP/Inflammation,"34725920, 35166234, 17183247, 29253812","IHC, IF, RNA-seq"
Telomere length,Telomere length,,,Kidneys,,AKI,Mouse,DDR,19959722,FISH
TGFB1,transforming growth factor beta 1,HGNC:11766,Protein,Kidneys,"Podocytes; endothelial cells, macrophages",Aging; Diabetes,Mouse,SASP/Inflammation,"35166234, 29253812","RNA-seq, IF, WB"
TNF,tumor necrosis factor,HGNC:11892,mRNA,Kidneys,,ishemic renal injury,Mouse,SASP/Inflammation,32657444,rt-qPCR
TP53BP1,tumor protein p53 binding protein 1,HGNC:11999,Protein,Kidneys,"Glomerular enothelial cells, podocytes",Aging,Mouse,DDR,"34725920, 35166234","IHC, IF"
WNT9A,Wnt family member 9A,HGNC:12778,Protein,Kidneys,Tubular epithelial cells,"Chronic kidney disease, various nephropathies","Human, Mouse",SASP/Inflammation,29440280,"WB, IHC"
CCL2,C-C motif chemokine ligand 2,HGNC:10618,mRNA,Liver,,partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
CCL5,C-C motif chemokine ligand 5,HGNC:10632,mRNA,Liver,,partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,"mRNA, Protein",Liver,"hepatocytes, stellate cells","Aging, NAFLD, Fibrosis, HFD","Human, Mouse",Cell cycle arrest,"23142622, 26840489, 18724938, 28608850","IHC, rt-qPCR, IF"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,"mRNA, Protein",Liver,"hepatocyte, stellate cells","Aging, Partial hepatectomy, Fibrosis, HFD",Mouse,Cell cycle arrest,"26840489, 35708907, 31296937, 28802066, 28608850, 18724938","rt-qPCR, FISH, RNA-ISH, IHC"
CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,mRNA,Liver,,Partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,"mRNA, Protein",Liver,,partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
CXCL5,C-X-C motif chemokine ligand 5,HGNC:10642,mRNA,Liver,,partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
H2AX,H2A.X variant histone,HGNC:4739,Protein,Liver,hepatocytes,"Aging, NAFLD, HFD","Human, Mouse",DDR,"23142622, 28608850, 19627270","IF, IHC"
HMGA1,high mobility group AT-hook 1,HGNC:5010,Protein,Liver,Stellate cells,Fibrosis,Mouse,DDR,18724938,IF
IFNA1,interferon alpha 1,HGNC:5417,mRNA,Liver,,Aging,Mouse,SASP/Inflammation,31296937,rt-qPCR
IL1A,interleukin 1 alpha,HGNC:5991,mRNA,Liver,,Partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
IL6,interleukin 6,HGNC:6018,"mRNA, Protein",Liver,,"Aging, Partial hepatectomy",Mouse,SASP/Inflammation,"26840489, 35708907, 31296937","rt-qPCR, IF, Elisa"
IRF7,interferon regulatory factor 7,HGNC:6122,mRNA,Liver,,Aging,Mouse,SASP/Inflammation,31296937,rt-qPCR
Karyomegaly,Karyomegaly,,,Liver,,"Aging, HFD",Mouse,Nuclear changes,28608850,IF
MACROH2A1,macroH2A.1 histone,HGNC:4740,mRNA,Liver,,Aging,Mouse,Nuclear changes,21176091,"IF, Immunoblotting"
MMP1,matrix metallopeptidase 1,HGNC:7155,mRNA,Liver,,Aging,Mouse,SASP/Inflammation,26840489,rt-qPCR
MMP2,matrix metallopeptidase 2,HGNC:7166,mRNA,Liver,,Partial hepatectomy,Mouse,SASP/Inflammation,35708907,rt-qPCR
MMP3,matrix metallopeptidase 3,HGNC:7173,mRNA,Liver,,"Aging, Partial hepatectomy",Mouse,SASP/Inflammation,"26840489, 35708907, 31296937",rt-qPCR
PDGFB,platelet derived growth factor subunit B,HGNC:8800,"mRNA, Protein",Liver,,Fibrosis,Mouse,SASP/Inflammation,28802066,"RNAscope-ISH, rt-qPCR"
SA-β-Gal,senescence associated beta galactosidase,,,Liver,,"Aging, Cirrhosis","Human, Mouse",Increased lysosomal content,"31296937, 19627270, 12087054",Histochemistry
senescence-associated distension of satellites,senescence-associated distension of satellites,,,Liver,,Aging,Mouse,Nuclear changes,28608850,FISH
SERPINE1,serpin family E member 1,HGNC:8583,mRNA,Liver,,"Aging, Partial hepatectomy",Mouse,SASP/Inflammation,"26840489, 35708907, 31296937",rt-qPCR
TAF,Telomere-Associated Foci,,,Liver,hepatocytes,"Aging, HFD, ALD","baboon, Human, Mouse",DDR,"22426077, 22426229, 28608850, 25879839",FISH
TGFB1,transforming growth factor beta 1,HGNC:11766,"mRNA, Protein",Liver,,Fibrosis,Mouse,SASP/Inflammation,28802066,"RNAscope-ISH, rt-qPCR"
TNF,tumor necrosis factor,HGNC:11892,"mRNA, Protein",Liver,,Fibrosis,Mouse,SASP/Inflammation,28802066,"RNAscope-ISH, rt-qPCR"
TP53,tumor protein p53,HGNC:11998,Protein,Liver,Stellate cells,Fibrosis,Mouse,Cell cycle arrest,18724938,IF
BCL2L1,BCL2 like 1,HGNC:992,Protein,Lungs,Fibroblast,IPF,Mouse,SASP/Inflammation,24603818,Immunoblotting
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,Protein,Lungs,,"Aging, Pulmonary fibrosis, ARDS, IPF, COPD","Human, Mouse",Cell cycle arrest,"35256943, 33515780, 36231077, 36650158, 28722352, 31959867, 15333326, 36506578, 34063608, 28230051","rt-qPCR, IHC, RNA-seq, Immunoblot,IF"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,Protein,Lungs,,"Non-small cell lung, IPF, Aging, emphysema","Human, Mouse",Cell cycle arrest,"31428695, 36227993, 37078230, 31959867, 34063608, 31157548, 35672770","Immunostaining, Gene knockout, scRNA seq"
CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,Protein,Lungs,,"COPD, IPF","Human, Mouse",SASP/Inflammation,"34238764, 16140223, 21916917","ELISA, Multiplex Immunoassay"
GDF15,growth differentiation factor 15,HGNC:30142,Protein,Lungs,,"Aging, ILD, COPD, Pulmonary Emphysema, IPF","Human, Mouse",SASP/Inflammation,"33080140, 28145442, 29977354, 35993367, 28145442, 35993367, 31432710","Knockout studies, proteomic analyses, ELISA, IF, IHC, rt-qPCR"
H2AX,H2A.X variant histone,HGNC:4739,Protein,Lungs,,"Aging, COPD",Human,DDR,"34728633, 26386120",IHC
H2AX,H2A.X variant histone,HGNC:4739,Protein,Lungs,,"Development, Aging, IPF",Mouse,DDR,"36650158, 26386120, 36059455","IF, IHC"
IL10,interleukin 10,HGNC:5962,Protein,Lungs,,"Aging, COPD","Human, Mouse",SASP/Inflammation,"16140223, 11029344, 32170906","Multiplex Immunoassay, Gene knockout studies"
IL1A,interleukin 1 alpha,HGNC:5991,Protein,Lungs,,"IPF, Tobacco/cigarette smoke (CS) exposure",Mouse,SASP/Inflammation,"28230051, 34238764, 34063608",rt-qPCR
IL1B,interleukin 1 beta,HGNC:5992,Protein,Lungs,,"COPD, IPF","Human, Mouse",SASP/Inflammation,"31959867, 16140223","rt-qPCR, Multiplex Immunoassay"
IL6,interleukin 6,HGNC:6018,Protein,Lungs,,"IPF, CS exposure, COPD","Human, Mouse",SASP/Inflammation,"28230051, 34238764, 34063608, 16140223, 21916917","rt-qPCR, Multiplex Immunoassay"
MMP12,matrix metallopeptidase 12,HGNC:7158,Protein,Lungs,,"IPF, CS exposure",Mouse,SASP/Inflammation,"28230051, 34063608","RNAseq, rt-qPCR, immunoblotting"
MMP8,matrix metallopeptidase 8,HGNC:7175,Protein,Lungs,,COPD,Human,SASP/Inflammation,10351949,ELISA
SERPINE1,serpin family E member 1,HGNC:8583,Protein,Lungs,,"IPF, Aging","Human, Mouse",SASP/Inflammation,"28722352, 28230051, 36059455, 29152572","rt-qPCR, immunoblotting"
TGFB1,transforming growth factor beta 1,HGNC:11766,Protein,Lungs,,IPF,"Human, Mouse",SASP/Inflammation,"32661339, 31959867, 28230051","rt-qPCR, scRNA seq, IF, Microarray, RNAseq"
TNF,tumor necrosis factor,HGNC:11892,Protein,Lungs,,IPF,"Human, Mouse",SASP/Inflammation,28230051,"microarrays, rt-qPCR"
TNFRSF1B,TNF receptor superfamily member 1B,HGNC:11917,Protein,Lungs,,Hyperoxia,Mouse,SASP/Inflammation,36650158,"scRNA seq, Luminex"
TP53,tumor protein p53,HGNC:11998,Protein,Lungs,,"Aging, ARDS, IPF, COPD",Mouse,Cell cycle arrest,"33515780, 32661339, 28722352, 31959867, 36506578, 34063608","rt-qPCR, scRNA seq, IF"
TP53,tumor protein p53,HGNC:11998,Protein,Lungs,,ARDS,Human,Cell cycle arrest,"33515780, 28230051","Microarray, RNAseq, rt-qPCR"
VEGFA,vascular endothelial growth factor A,HGNC:12680,Protein,Lungs,,COPD,Human,SASP/Inflammation,21916917,Cytometric Bead Array
CCL5,C-C motif chemokine ligand 5,HGNC:10632,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,Protein,Mammary gland,Stromal cells,Aging,Mouse,Cell cycle arrest,27852980,"RNAseq, rt-qPCR"
CSF1,colony stimulating factor 1,HGNC:2432,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
CSF3,colony stimulating factor 3,HGNC:2438,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
CXCL16,C-X-C motif chemokine ligand 16,HGNC:16642,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
IL6,interleukin 6,HGNC:6018,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,33378681,scRNAseq
macrophage crown-like structures,macrophage crown-like structures,,,Mammary gland,Stromal cells,Aging,Mouse,SASP/Inflammation,27852980,IHC
PTGS2,prostaglandin-endoperoxide synthase 2,HGNC:9605,Protein,Mammary gland,,Aging,Mouse,SASP/Inflammation,27852980,"RNAseq, IHC"
AKT1,AKT serine/threonine kinase 1,HGNC:391,Protein,Ovary,Granulosa cells,Development,Mouse,SASP/Inflammation,31111482,WB
BAX,"BCL2 associated X, apoptosis regulator",HGNC:959,Protein,Ovary,Granulosa cells,Development,Mouse,Resistance to apoptosis,31111482,WB
